MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARNEMINGDATUM;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;22-10-2015;2120;+.2120E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;18-11-2015;3140;+.3140E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;17-12-2015;773;+.773E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;polonium 210;Po210;13981-52-7;mBq/l;Bepaling van Ra-226 m.b.v. extractiedisks.;13-2-2014;9,99;+.999E+01;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;polonium 210;Po210;13981-52-7;mBq/l;Bepaling van Ra-226 m.b.v. extractiedisks.;10-4-2014;20,9;+.209E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;polonium 210;Po210;13981-52-7;mBq/l;Bepaling van Ra-226 m.b.v. extractiedisks.;5-6-2014;10,8;+.108E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;polonium 210;Po210;13981-52-7;mBq/l;Bepaling van Ra-226 m.b.v. extractiedisks.;31-7-2014;2,67;+.267E+01;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;polonium 210;Po210;13981-52-7;mBq/l;Bepaling van Ra-226 m.b.v. extractiedisks.;25-9-2014;4,34;+.434E+01;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;polonium 210;Po210;13981-52-7;mBq/l;Bepaling van Ra-226 m.b.v. extractiedisks.;20-11-2014;9,93;+.993E+01;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;polonium 210;Po210;13981-52-7;mBq/l;Bepaling van Ra-226 m.b.v. extractiedisks.;15-1-2015;2,82;+.282E+01;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;polonium 210;Po210;13981-52-7;mBq/l;Bepaling van Ra-226 m.b.v. extractiedisks.;12-3-2015;2,63;+.263E+01;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;polonium 210;Po210;13981-52-7;mBq/l;Bepaling van Ra-226 m.b.v. extractiedisks.;7-5-2015;4,07;+.407E+01;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;polonium 210;Po210;13981-52-7;mBq/l;Bepaling van Ra-226 m.b.v. extractiedisks.;2-7-2015;11,9;+.119E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;polonium 210;Po210;13981-52-7;mBq/l;Bepaling van Ra-226 m.b.v. extractiedisks.;27-8-2015;4,22;+.422E+01;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;polonium 210;Po210;13981-52-7;mBq/l;Bepaling van Ra-226 m.b.v. extractiedisks.;22-10-2015;5,61;+.561E+01;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;polonium 210;Po210;13981-52-7;mBq/l;Bepaling van Ra-226 m.b.v. extractiedisks.;17-12-2015;6,71;+.671E+01;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;18-1-2012;70;+.700E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;15-2-2012;35;+.350E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;14-3-2012;69;+.690E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;11-4-2012;37;+.370E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;9-5-2012;34;+.340E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;6-6-2012;83;+.830E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;4-7-2012;32;+.320E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;1-8-2012;35;+.350E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;29-8-2012;24;+.240E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;26-9-2012;21;+.210E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;24-10-2012;1;+.1E+01;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;21-11-2012;30;+.300E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;19-12-2012;119;+.119E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;17-1-2013;59;+.590E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;14-2-2013;61;+.610E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;14-3-2013;41;+.410E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;11-4-2013;25;+.250E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;7-5-2013;68;+.680E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;6-6-2013;124;+.124E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;4-7-2013;22;+.220E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;1-8-2013;40;+.400E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;29-8-2013;42;+.420E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;26-9-2013;36;+.360E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;24-10-2013;31;+.310E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;21-11-2013;49;+.490E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;19-12-2013;45;+.450E+02;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;Rest Beta;RESTBTA;NVT;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;16-1-2014;48;+.480E+02;Normale waarde;Pomp
